trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
0,-1235.4851067034042,315.94199589183324,100,15,500,3.0,0.05,1.0
1,-1290.0879051210034,350.45044187158027,50,63,500,7.0,0.03,0.0
2,-1176.3632461581715,190.42963247071475,20,15,800,,0.05,1.0
3,-1337.039752775953,491.51305122275966,100,63,800,5.0,0.05,0.1
4,-1424.9118932386984,521.6641164054382,100,31,800,,0.1,0.1
5,-1395.4679469472292,390.8854006352502,50,31,800,,0.05,0.1
6,-1254.1054902933388,291.22789314436227,50,63,300,7.0,0.1,0.0
7,-1198.6555070718207,220.763221468959,50,15,500,7.0,0.1,0.0
8,-1491.5352880947423,441.6980522510027,50,31,800,,0.1,1.0
9,-1212.1091920423105,239.0460619557262,50,63,800,3.0,0.1,1.0
10,-1154.6931494504288,290.7831152256097,100,31,500,3.0,0.1,0.1
11,-1219.5562692398687,172.41188361087362,20,31,300,3.0,0.1,1.0
12,-1334.3560278400653,474.51018543599565,100,63,500,5.0,0.05,1.0
13,-1167.5362424859102,244.93697407465848,50,15,800,5.0,0.05,0.1
14,-1194.001081634487,256.30514004767593,20,31,500,7.0,0.03,1.0
15,-1335.2711288169824,362.4701155215593,20,63,300,,0.03,0.1
16,-1144.3640254171248,200.44479946442542,20,15,800,7.0,0.03,1.0
17,-1234.16666386058,314.2836681073314,20,31,300,5.0,0.03,0.0
18,-1148.913678628829,216.99798788160908,20,15,800,5.0,0.05,1.0
19,-1195.4966368580383,265.10073922682227,50,15,500,,0.1,0.0
20,-1218.764788311885,281.97644663488717,20,31,800,,0.05,0.0
21,-1219.496104928502,262.48937536350456,20,31,500,,0.1,0.0
22,-1177.2232391296575,292.86510015679886,20,63,300,7.0,0.05,0.0
23,-1276.51393726724,301.9975574210891,20,63,800,7.0,0.1,0.0
24,-1308.241764300619,454.5308092541153,100,31,300,7.0,0.03,0.0
25,-1140.8892938648667,212.48205354175226,20,15,500,,0.05,0.0
26,-1292.339343454408,338.7578740525885,50,15,300,5.0,0.03,0.1
27,-1264.245614450953,321.4859249983098,50,31,800,7.0,0.03,0.0
28,-1223.2953306569177,306.78818132881287,100,31,800,3.0,0.03,0.0
29,-1380.1740965458123,507.52875841918564,100,63,800,,0.03,1.0
