trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
0,-1055.9357771762832,187.75708801390476,100,15,500,3.0,0.05,1.0
1,-1103.5835480723567,180.05900559007387,50,63,500,7.0,0.03,0.0
2,-997.2979724957444,145.48099555226327,20,15,800,,0.05,1.0
3,-1056.0259706065583,246.0044233008731,100,63,800,5.0,0.05,0.1
4,-1212.741469923817,337.51202127945584,100,31,800,,0.1,0.1
5,-1168.3953818623204,256.79914068854583,50,31,800,,0.05,0.1
6,-1124.851625460827,224.9493067514476,50,63,300,7.0,0.1,0.0
7,-1084.7503336396032,212.96483520499297,50,15,500,7.0,0.1,0.0
8,-1203.331914586956,268.16687423361117,50,31,800,,0.1,1.0
9,-1025.988509604154,162.09392678324738,50,63,800,3.0,0.1,1.0
10,-1017.6746092210217,176.65618735245152,100,31,500,3.0,0.1,0.1
11,-1009.9971085040622,102.56572706593894,20,31,300,3.0,0.1,1.0
12,-1035.988368053033,229.339587805289,100,63,500,5.0,0.05,1.0
13,-1000.9857390355797,160.54016143295985,50,15,800,5.0,0.05,0.1
14,-992.4081612049613,145.68811208741374,20,31,500,7.0,0.03,1.0
15,-1028.4708550700593,114.81162440678196,20,63,300,,0.03,0.1
16,-992.2753059092316,184.06528394264168,20,15,800,7.0,0.03,1.0
17,-1018.8926457719941,132.70537896588056,20,31,300,5.0,0.03,0.0
18,-991.7712204067404,164.22707691934207,20,15,800,5.0,0.05,1.0
19,-1085.5273256654557,237.97351464010467,50,15,500,,0.1,0.0
20,-1030.499604424441,154.30466153600642,20,31,800,,0.05,0.0
21,-1038.532616227882,133.75643376169802,20,31,500,,0.1,0.0
22,-1015.9449490915233,135.11259356317373,20,63,300,7.0,0.05,0.0
23,-1083.6822569551275,170.4792628777545,20,63,800,7.0,0.1,0.0
24,-1082.257071837813,292.33851250858925,100,31,300,7.0,0.03,0.0
25,-972.9807447080681,133.9663171059271,20,15,500,,0.05,0.0
26,-1072.509757778465,163.3780336440948,50,15,300,5.0,0.03,0.1
27,-1086.2300616252019,216.53678961783854,50,31,800,7.0,0.03,0.0
28,-1039.235314781994,176.2161819409269,100,31,800,3.0,0.03,0.0
29,-1099.9370400890523,288.57233110304395,100,63,800,,0.03,1.0
30,-1031.8057979407172,173.56340844086023,50,31,500,5.0,0.05,1.0
31,-1033.5566918862546,109.65830796481521,20,15,500,3.0,0.05,1.0
32,-1100.5661202766755,237.65070353943835,100,31,300,3.0,0.03,1.0
33,-1026.9307652113725,157.2973069601111,20,15,800,5.0,0.1,0.0
34,-1034.8558712596273,165.18335580420754,20,31,500,7.0,0.05,0.0
35,-1047.964446607661,241.90087196180377,100,31,500,5.0,0.1,0.1
36,-1021.8393555026875,179.2727713181394,50,15,300,5.0,0.1,0.0
37,-1079.2873958182543,274.7956762716802,100,63,500,,0.03,0.1
38,-1091.1518314834336,276.4585315571669,100,31,300,7.0,0.1,1.0
39,-1025.0093411643525,138.75387791944596,50,15,800,3.0,0.05,0.1
40,-1011.6068278653672,151.10458457050228,20,31,800,5.0,0.03,1.0
41,-1081.7225451186212,289.4626134764099,100,15,800,,0.05,0.0
42,-1075.1633592212595,258.27739035817984,100,15,300,7.0,0.03,1.0
43,-977.6961933188838,120.046958782541,20,15,300,,0.05,1.0
44,-1050.3723863901726,119.28902613825917,20,63,500,,0.03,0.0
45,-1095.8905626651992,121.35623223370986,20,31,300,3.0,0.03,0.1
46,-1047.964446607661,241.90087196180377,100,63,500,5.0,0.1,0.1
47,-1093.0614343585398,208.44417847393265,50,31,500,7.0,0.03,0.0
48,-1020.9368006075917,156.5622931748981,20,31,500,5.0,0.03,0.0
49,-1046.8562001374057,93.84436318262436,20,31,300,3.0,0.05,1.0
50,-1082.8154021056985,273.27430998025017,100,63,800,7.0,0.03,0.1
51,-996.6183970921018,147.93222624678296,20,31,300,5.0,0.05,0.1
52,-1021.8474077292394,105.51974794692129,20,31,500,3.0,0.05,0.0
53,-1050.8246109686763,142.5512821860429,20,31,800,,0.1,0.0
54,-1029.394162260664,174.3639599261762,50,31,300,5.0,0.05,0.0
55,-1088.244361859968,274.42942825385154,100,15,300,5.0,0.03,1.0
56,-1017.6746092210217,176.65618735245152,100,63,500,3.0,0.1,0.1
57,-1106.2435205341894,297.72074346433067,100,63,800,,0.03,0.0
58,-1009.7637547172963,175.80229456380195,100,63,300,3.0,0.1,1.0
59,-1039.0589289045397,240.15220512213625,100,31,300,5.0,0.1,0.1
60,-1026.5725667871611,174.33906016085177,50,31,800,5.0,0.05,0.1
61,-1093.9469809029636,190.40071745055178,50,31,300,7.0,0.03,0.1
62,-995.5814613584065,137.1643622946607,20,31,500,7.0,0.03,0.0
63,-1146.4453814443532,259.1513641046452,50,31,800,7.0,0.1,0.0
