trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,-1468.226747660041,667.1875674542752,True,24,sqrt,8,8,171
1,-1478.3005145482246,674.0635834214683,True,27,,8,5,153
2,-1606.395192395287,776.8469828512843,False,7,log2,5,3,137
3,-1503.6722098122616,708.6559186167377,False,10,log2,5,2,253
4,-1468.0894819968917,670.5707428425346,False,26,sqrt,9,18,268
5,-1506.7036946381713,694.7383403589938,True,14,,3,13,104
6,-1494.8265346161509,678.5881459335799,False,29,,5,8,70
7,-1487.0301020230754,689.2776585992291,True,11,log2,4,15,291
8,-1484.9797321795202,687.5203308250827,False,13,log2,5,3,133
9,-1484.1422072421128,669.163388393808,False,19,,8,16,84
10,-1518.4799049895512,673.4839425651213,False,21,log2,8,5,51
11,-1496.9460292569456,702.5537212546511,False,10,log2,4,19,267
12,-1670.2810408232926,801.5198326657053,False,6,log2,4,15,144
13,-1468.203843405265,673.5182916985211,False,19,log2,7,9,262
14,-1503.6054528631655,682.3700607186686,False,17,log2,5,14,90
15,-1515.2265884463834,666.1039866865381,True,19,sqrt,1,8,58
16,-1777.0477824335746,788.3901311227598,False,5,,3,18,185
17,-1592.0649442931535,763.1227197889808,True,7,sqrt,5,11,280
18,-1524.1630756093218,679.9587149173248,False,13,,9,9,61
19,-1779.2141840841323,795.5828805636477,False,5,,7,6,148
20,-1478.7970457167423,681.1799043218681,False,12,log2,3,2,276
21,-1513.2803854158417,663.6260114178707,True,19,log2,3,2,54
22,-1467.2578255528394,672.2776509070637,False,27,,7,10,256
23,-1472.5160804739942,674.7460527943753,True,14,sqrt,3,8,290
24,-1550.5554837389755,744.4128842309672,False,8,log2,5,8,286
25,-1476.2410518806657,676.2854239207243,True,15,sqrt,4,14,209
26,-1494.0702371793602,680.9267729545666,True,23,log2,2,11,94
27,-1495.425312636183,685.3810542414406,False,29,sqrt,6,13,93
28,-1472.3443103467696,680.5978699831616,False,15,log2,7,8,239
29,-1774.6351426427111,788.6345260222954,True,5,sqrt,9,14,282
