trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
0,-34733.90271064002,8267.863894189823,100,15,500,3.0,0.05,1.0
1,-37856.11952665851,11459.29663312437,50,63,500,7.0,0.03,0.0
2,-40872.824943375876,12345.344915726473,20,15,800,,0.05,1.0
3,-36428.85295077767,10006.996177872214,100,63,800,5.0,0.05,0.1
4,-41805.71113919018,17553.836878422073,100,31,800,,0.1,0.1
5,-42477.69863742948,17076.378161093504,50,31,800,,0.05,0.1
6,-41376.10421903105,14261.457554022485,50,63,300,7.0,0.1,0.0
7,-39981.23503908775,13864.97117001894,50,15,500,7.0,0.1,0.0
8,-41767.47941295001,17679.252509623424,50,31,800,,0.1,1.0
9,-37679.98644539346,12366.551018008115,50,63,800,3.0,0.1,1.0
10,-35715.507175853316,9003.96981613904,100,31,500,3.0,0.1,0.1
11,-37764.45542834531,9734.19791409747,20,31,300,3.0,0.1,1.0
12,-35826.87544289367,8991.233155981663,100,63,500,5.0,0.05,1.0
13,-38527.044719457415,12953.985542109931,50,15,800,5.0,0.05,0.1
14,-39097.7766111541,10275.242751913844,20,31,500,7.0,0.03,1.0
15,-41674.93167985409,12295.928613479091,20,63,300,,0.03,0.1
16,-39197.1413519159,10939.39225254022,20,15,800,7.0,0.03,1.0
17,-38016.517968874294,9051.583794662361,20,31,300,5.0,0.03,0.0
18,-39611.7089218569,11863.394412575677,20,15,800,5.0,0.05,1.0
19,-39310.18977442257,14164.475864510025,50,15,500,,0.1,0.0
20,-43033.256077792605,14341.155175120728,20,31,800,,0.05,0.0
21,-44007.45232027113,15082.624260392302,20,31,500,,0.1,0.0
22,-41255.21487619458,10414.971707611008,20,63,300,7.0,0.05,0.0
23,-45290.29161598968,16969.302844076974,20,63,800,7.0,0.1,0.0
24,-35327.00438873722,8538.472962110742,100,31,300,7.0,0.03,0.0
25,-38807.70523950817,11050.355502668333,20,15,500,,0.05,0.0
26,-36230.57769507538,9882.11184299427,50,15,300,5.0,0.03,0.1
27,-38734.15918422189,12263.064488757136,50,31,800,7.0,0.03,0.0
28,-34446.12662642668,8108.566994622349,100,31,800,3.0,0.03,0.0
29,-38473.93941561925,11958.902452074542,100,63,800,,0.03,1.0
30,-37346.05996724802,11327.648898350753,50,31,500,5.0,0.05,1.0
31,-37854.775923078036,10031.397777833281,20,15,500,3.0,0.05,1.0
32,-34072.92663557459,7732.253147122933,100,31,300,3.0,0.03,1.0
33,-42991.08431513836,14402.181824744335,20,15,800,5.0,0.1,0.0
34,-40757.925747910245,11806.49226680398,20,31,500,7.0,0.05,0.0
35,-37020.931011166875,10559.04015173342,100,31,500,5.0,0.1,0.1
36,-38066.62808107437,12075.400121789577,50,15,300,5.0,0.1,0.0
37,-37441.962845092945,10909.723055995832,100,63,500,,0.03,0.1
38,-37186.16001672272,10326.3787699991,100,31,300,7.0,0.1,1.0
39,-36832.884331357534,10814.901361652453,50,15,800,3.0,0.05,0.1
40,-39767.17391865495,10894.523892396981,20,31,800,5.0,0.03,1.0
41,-37752.50017073729,12121.26135695876,100,15,800,,0.05,0.0
42,-35113.654415456156,8376.047261636179,100,15,300,7.0,0.03,1.0
43,-38681.33675265563,9976.263443456006,20,15,300,,0.05,1.0
44,-42009.96046492544,12793.90149576079,20,63,500,,0.03,0.0
45,-36821.0830224055,8876.009850327902,20,31,300,3.0,0.03,0.1
46,-37020.931011166875,10559.04015173342,100,63,500,5.0,0.1,0.1
47,-38144.153912867034,11304.375262745527,50,31,500,7.0,0.03,0.0
48,-38729.67422362449,9851.573045987952,20,31,500,5.0,0.03,0.0
49,-37095.61409979237,9158.589483659665,20,31,300,3.0,0.05,1.0
50,-36654.91767448302,10335.624311703012,100,63,800,7.0,0.03,0.1
51,-39121.98166616038,9435.345541520528,20,31,300,5.0,0.05,0.1
52,-37528.77810118536,9638.110995980032,20,31,500,3.0,0.05,0.0
53,-44755.9358200465,16369.390595342604,20,31,800,,0.1,0.0
54,-37272.465600050346,10672.106379983681,50,31,300,5.0,0.05,0.0
55,-34483.8135660117,7986.07568514286,100,15,300,5.0,0.03,1.0
56,-35715.507175853316,9003.96981613904,100,63,500,3.0,0.1,0.1
57,-38531.588848713945,11932.962588547605,100,63,800,,0.03,0.0
58,-35256.93243489809,8537.869052589958,100,63,300,3.0,0.1,1.0
59,-36265.726628166725,9427.405981874517,100,31,300,5.0,0.1,0.1
60,-38350.41811319002,12852.03303451695,50,31,800,5.0,0.05,0.1
61,-37366.97429387929,10516.63562839517,50,31,300,7.0,0.03,0.1
62,-40230.49545869245,10752.444503231525,20,31,500,7.0,0.03,0.0
63,-42875.73476159126,16172.993747153447,50,31,800,7.0,0.1,0.0
64,-37065.716459392526,9135.654335113652,20,15,500,3.0,0.03,1.0
65,-39089.88074232494,14275.391037748754,100,31,800,7.0,0.1,0.1
66,-39634.12872929616,12853.41485016301,100,31,300,,0.1,1.0
67,-40600.55083347154,12675.93925843038,20,15,500,,0.1,0.0
68,-38618.301892158786,12939.937164875286,100,15,800,7.0,0.1,0.0
69,-40795.126212403295,14113.252286805637,100,63,800,,0.05,0.0
70,-39296.631315261206,10019.616973908262,20,31,300,5.0,0.05,1.0
71,-44217.22737116029,13906.236512937337,20,31,500,,0.1,1.0
72,-38218.22313765345,10105.32833372772,20,15,500,7.0,0.03,0.0
73,-38248.86160411626,11951.658900531082,50,15,800,5.0,0.05,1.0
74,-34446.997277623144,8064.268035857661,100,15,800,3.0,0.03,0.1
75,-40295.26470479285,14490.259572987845,50,63,500,5.0,0.1,0.1
76,-34652.5446991114,8037.760817518553,100,63,300,5.0,0.03,0.1
77,-37161.04235584537,8999.618028256966,20,15,300,3.0,0.05,0.1
78,-38990.657147388956,12525.054736206503,50,15,300,7.0,0.1,0.1
79,-39421.714636271965,12926.661859382115,50,63,300,,0.03,0.0
80,-37942.259981310155,8845.555709535229,20,63,300,5.0,0.03,0.1
81,-36071.990892766014,9199.741278479594,100,31,300,,0.03,0.0
82,-42880.42685969904,16329.853047190689,50,63,500,,0.05,1.0
83,-36206.23253509683,10033.109269469593,50,31,800,3.0,0.03,1.0
84,-39236.35063136021,11364.378706046708,20,63,500,3.0,0.1,0.0
85,-44022.607397835185,15962.402825014853,20,63,500,,0.1,0.1
