trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,-82284.17004361114,27248.437946161117,True,24,sqrt,8,8,171
1,-82546.84935213292,27181.856264591323,True,27,,8,5,153
2,-61251.53321512267,27032.59949123458,False,7,log2,5,3,137
3,-67116.24924642728,23245.68712201281,False,10,log2,5,2,253
4,-78187.58662498125,24307.384201201952,False,26,sqrt,9,18,268
5,-81581.9690088368,29766.671874031523,True,14,,3,13,104
6,-88365.10751686337,33980.49853782218,False,29,,5,8,70
7,-68279.95665095518,21894.448669223588,True,11,log2,4,15,291
8,-76142.23220437062,25533.430629725968,False,13,log2,5,3,133
9,-82448.58849554711,27842.508832688167,False,19,,8,16,84
10,-81674.81836983947,25114.103358644807,False,21,log2,8,5,51
11,-66789.1943699218,22944.93658169537,False,10,log2,4,19,267
12,-58130.645175027115,27566.118161816612,False,6,log2,4,15,144
13,-76713.03504485788,22589.72319357159,False,19,log2,7,9,262
14,-85920.07675446507,33536.698927914935,False,17,log2,5,14,90
15,-82133.79242672904,27506.14781153458,True,19,sqrt,1,8,58
16,-53655.95707134373,25493.476031568272,False,5,,3,18,185
17,-57642.10194477025,22277.04762906032,True,7,sqrt,5,11,280
18,-75647.62141483133,26736.161043362015,False,13,,9,9,61
19,-54914.20672548126,27217.55492708733,False,5,,7,6,148
20,-70059.19801970322,21364.307112956623,False,12,log2,3,2,276
21,-82127.0399434356,27323.514810874873,True,19,log2,3,2,54
22,-79051.32744628808,24838.504548559238,False,27,,7,10,256
23,-73690.8711153377,22815.784178986825,True,14,sqrt,3,8,290
24,-62113.755657115194,24273.8608638362,False,8,log2,5,8,286
25,-75322.12934338243,22580.315135507717,True,15,sqrt,4,14,209
26,-85400.21867556154,31114.280547871385,True,23,log2,2,11,94
27,-84564.60031385678,29432.34338399192,False,29,sqrt,6,13,93
28,-75743.20706984437,23130.874586048412,False,15,log2,7,8,239
29,-51223.686137741526,22063.511197919175,True,5,sqrt,9,14,282
