trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,-60482.098795927406,20866.05840240925,True,24,sqrt,8,8,171
1,-60374.83753528105,20493.301023921158,True,27,,8,5,153
2,-48180.465047868536,20404.841788644524,False,7,log2,5,3,137
3,-51482.36529389326,18860.716732147266,False,10,log2,5,2,253
4,-59673.63264262917,19698.88745098996,False,26,sqrt,9,18,268
5,-58325.59532106499,21883.5173146132,True,14,,3,13,104
6,-64393.8184824141,25991.816302944582,False,29,,5,8,70
7,-52409.48467551549,17847.47694091901,True,11,log2,4,15,291
8,-56031.38784679945,19661.659100089877,False,13,log2,5,3,133
9,-59910.0576003265,20293.886012897114,False,19,,8,16,84
10,-62863.58943817578,24313.01588867851,False,21,log2,8,5,51
11,-51385.153029351146,18617.35347812358,False,10,log2,4,19,267
12,-46892.10256229213,20944.443981226857,False,6,log2,4,15,144
13,-57800.20694114063,17510.776202067424,False,19,log2,7,9,262
14,-62761.83078595482,26701.32289439876,False,17,log2,5,14,90
15,-60681.29686263935,21302.931343064283,True,19,sqrt,1,8,58
16,-44856.413363576474,18651.190764057596,False,5,,3,18,185
17,-46438.252709294946,17581.580385447636,True,7,sqrt,5,11,280
18,-56706.38628199609,20560.174491727597,False,13,,9,9,61
19,-45360.375441182834,19380.186084961937,False,5,,7,6,148
20,-53534.501769667724,18044.691142214786,False,12,log2,3,2,276
21,-60553.016861197284,21203.05782187064,True,19,log2,3,2,54
22,-59128.331969067665,18902.079929026284,False,27,,7,10,256
23,-55687.63902788175,18085.10004672531,True,14,sqrt,3,8,290
24,-48599.2472175233,18719.461944931383,False,8,log2,5,8,286
25,-57352.87481964727,18949.715538199514,True,15,sqrt,4,14,209
26,-64493.375651620285,26593.167502602228,True,23,log2,2,11,94
27,-62653.53990435081,24062.948486726906,False,29,sqrt,6,13,93
28,-57889.81706489436,19630.124958818255,False,15,log2,7,8,239
29,-43641.99693353842,16350.473814132112,True,5,sqrt,9,14,282
30,-54211.34709222108,20480.367779226635,True,11,log2,8,10,111
31,-46342.061876672655,21113.70834208553,True,5,,8,16,108
32,-60948.07707725813,21048.215655614946,False,28,sqrt,4,18,111
33,-60498.002940443286,20911.218496848163,True,24,log2,7,3,180
34,-50514.26439394626,19342.504897866278,True,9,sqrt,8,18,236
35,-45432.890549018906,18086.868319448226,True,6,log2,6,6,273
36,-43999.93376610634,16963.309822043597,True,5,,2,13,267
37,-51614.587654985706,19235.876310280077,False,10,,4,12,233
38,-60191.97199334969,20748.807606185666,True,21,,6,6,165
39,-51938.77082934723,19868.736507896625,False,10,log2,1,10,173
40,-51946.20004511674,19916.299867291713,True,10,sqrt,3,5,196
41,-49451.944568956664,22742.679416161263,False,7,,3,8,101
42,-44629.559707920525,18203.41195186064,True,5,,2,9,178
43,-60657.194185245164,20838.802314014723,True,29,sqrt,2,11,148
44,-63059.31506497131,24505.19623877665,True,20,log2,9,18,51
45,-59706.89093715608,20053.30174759616,True,20,log2,5,6,209
46,-59540.36638984278,19943.98621893545,True,27,sqrt,9,4,196
47,-59802.82920096505,20274.71398922862,False,20,,4,2,201
48,-57505.59010671209,19153.681657885078,False,15,sqrt,8,5,215
49,-59219.178718233015,18912.297637002906,False,24,log2,3,17,266
50,-61514.21809419247,21925.3225109421,True,29,sqrt,2,15,131
