trial_id,mean_cv_score,std_cv_score,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization
0,-30478.044236163947,6927.259408321333,100,15,500,3.0,0.05,1.0
1,-31539.058397166496,7173.102297373552,50,63,500,7.0,0.03,0.0
2,-31649.922071075533,7741.685531494387,20,15,800,,0.05,1.0
3,-31458.15432163841,7632.893547640984,100,63,800,5.0,0.05,0.1
4,-33729.79377230476,10140.942166500774,100,31,800,,0.1,0.1
5,-32893.612442911224,9239.610121455462,50,31,800,,0.05,0.1
6,-33511.767137009665,7367.07861273401,50,63,300,7.0,0.1,0.0
7,-32856.2878201751,8606.880567660131,50,15,500,7.0,0.1,0.0
8,-34423.14195688703,9862.08761869012,50,31,800,,0.1,1.0
9,-32081.027423687745,7587.902427196516,50,63,800,3.0,0.1,1.0
10,-31188.12690724407,7461.68339379752,100,31,500,3.0,0.1,0.1
11,-32226.418488970463,7864.296377877769,20,31,300,3.0,0.1,1.0
12,-30463.125320071063,7108.210167249274,100,63,500,5.0,0.05,1.0
13,-32120.07898559045,7785.167163333671,50,15,800,5.0,0.05,0.1
14,-32348.352134168475,8248.009111227922,20,31,500,7.0,0.03,1.0
15,-33488.723146738324,8530.644163635754,20,63,300,,0.03,0.1
16,-31537.158501717262,7337.642347471199,20,15,800,7.0,0.03,1.0
17,-31393.46193271149,6848.378010594951,20,31,300,5.0,0.03,0.0
18,-31757.622768344918,7907.978017486956,20,15,800,5.0,0.05,1.0
19,-32823.05952557524,8268.552827986341,50,15,500,,0.1,0.0
20,-33582.114551911116,9461.546317406597,20,31,800,,0.05,0.0
21,-33922.89244406721,9121.538967854589,20,31,500,,0.1,0.0
22,-33114.158358902656,7570.8350901642025,20,63,300,7.0,0.05,0.0
23,-34645.87338424234,9567.26109027031,20,63,800,7.0,0.1,0.0
24,-29770.847063886285,6910.970536708613,100,31,300,7.0,0.03,0.0
25,-31914.63974118153,7944.825788777504,20,15,500,,0.05,0.0
26,-30668.715138379448,6650.030874925073,50,15,300,5.0,0.03,0.1
27,-31865.66120074025,7675.423890477589,50,31,800,7.0,0.03,0.0
28,-30400.89093441028,6950.1211241602205,100,31,800,3.0,0.03,0.0
29,-31182.789252460345,7967.813589177064,100,63,800,,0.03,1.0
30,-31736.88961926779,7676.278384350677,50,31,500,5.0,0.05,1.0
31,-31101.369121466025,7243.357626661863,20,15,500,3.0,0.05,1.0
32,-29667.824291877296,6509.624995695487,100,31,300,3.0,0.03,1.0
33,-33078.428582963395,8558.3270836438,20,15,800,5.0,0.1,0.0
34,-33074.334053187275,8357.717519847249,20,31,500,7.0,0.05,0.0
35,-31862.822412229794,8395.16676469423,100,31,500,5.0,0.1,0.1
36,-32209.617699719638,7444.82004154805,50,15,300,5.0,0.1,0.0
37,-30688.96617988339,7374.29093557428,100,63,500,,0.03,0.1
38,-31957.029505082774,7917.584661484538,100,31,300,7.0,0.1,1.0
39,-31016.83262832706,6619.68843468068,50,15,800,3.0,0.05,0.1
40,-31769.303085218104,7636.939130175928,20,31,800,5.0,0.03,1.0
41,-31618.102124192454,8311.797707664336,100,15,800,,0.05,0.0
42,-29804.6726596795,6821.776321637365,100,15,300,7.0,0.03,1.0
43,-31004.463142781402,7035.0904249036175,20,15,300,,0.05,1.0
