trial_id,mean_cv_score,std_cv_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,-40782.751666226206,6630.911287197299,True,24,sqrt,8,8,171
1,-41085.874630071026,6751.716618377358,True,27,,8,5,153
2,-34000.0508069863,6114.788966178243,False,7,log2,5,3,137
3,-36965.136185932904,7232.126552300455,False,10,log2,5,2,253
4,-40397.50028732041,6761.344387141183,False,26,sqrt,9,18,268
5,-40708.66801009894,6992.217710096361,True,14,,3,13,104
6,-41438.96925076732,6597.933004864179,False,29,,5,8,70
7,-37665.57711646492,7210.202458982821,True,11,log2,4,15,291
8,-39796.929940213784,7383.099469578406,False,13,log2,5,3,133
9,-40743.374877556205,6894.085933098618,False,19,,8,16,84
10,-41319.682126436535,5826.249046122825,False,21,log2,8,5,51
11,-36918.034642612896,7217.522483617187,False,10,log2,4,19,267
12,-33013.24964728101,5433.011181168124,False,6,log2,4,15,144
13,-40255.22980331797,6942.499226057548,False,19,log2,7,9,262
14,-41418.37607052458,6859.825803793305,False,17,log2,5,14,90
15,-40980.2165231162,6298.940918604516,True,19,sqrt,1,8,58
16,-31835.046839368722,5559.217880416594,False,5,,3,18,185
17,-33472.13137607277,6038.931211654496,True,7,sqrt,5,11,280
18,-39772.43236420206,6767.170573059862,False,13,,9,9,61
19,-31907.982129215008,5406.855607117165,False,5,,7,6,148
20,-38691.34715377959,7196.225172183205,False,12,log2,3,2,276
21,-40938.82682413141,6357.123887782205,True,19,log2,3,2,54
22,-40540.181450010794,6645.328069709145,False,27,,7,10,256
23,-39788.38220596478,6812.188111841336,True,14,sqrt,3,8,290
24,-34687.163708746426,6351.262430999086,False,8,log2,5,8,286
25,-40265.06998016468,7065.56129908735,True,15,sqrt,4,14,209
26,-41612.49599603103,7141.080026405757,True,23,log2,2,11,94
27,-41851.3382063736,7480.799116872511,False,29,sqrt,6,13,93
28,-40133.302339038615,7101.943745902106,False,15,log2,7,8,239
29,-31764.750730398093,5602.871014271881,True,5,sqrt,9,14,282
30,-38383.7400124035,7283.107667245762,True,11,log2,8,10,111
31,-31864.690882921306,5230.393134703171,True,5,,8,16,108
32,-41107.50429936602,6932.21281581682,False,28,sqrt,4,18,111
33,-40650.84286515883,6540.554016511458,True,24,log2,7,3,180
34,-35886.585813463396,6823.061575732114,True,9,sqrt,8,18,236
35,-32609.92128436794,5637.0797606324695,True,6,log2,6,6,273
36,-31736.447352566593,5617.646485376772,True,5,,2,13,267
37,-36959.94279006177,7018.209240873985,False,10,,4,12,233
38,-40550.3262906514,6948.483095738861,True,21,,6,6,165
39,-37319.54841815952,7178.899122155439,False,10,log2,1,10,173
40,-37095.07330024724,7080.791137207306,True,10,sqrt,3,5,196
41,-34144.890424914505,6236.453904479501,False,7,,3,8,101
42,-31852.186031770914,5551.778105488464,True,5,,2,9,178
43,-41006.51939758902,7393.116754298397,True,29,sqrt,2,11,148
44,-41134.911580281,6251.068799292704,True,20,log2,9,18,51
45,-40360.449159253876,6514.245493561105,True,20,log2,5,6,209
46,-40652.7129418197,6403.8622772079,True,27,sqrt,9,4,196
47,-40366.55163499826,6446.6724139462,False,20,,4,2,201
48,-40309.558958259026,7114.564609743217,False,15,sqrt,8,5,215
49,-40340.23570864487,6469.030789550077,False,24,log2,3,17,266
50,-41267.61738510552,7184.450690628835,True,29,sqrt,2,15,131
51,-40418.305722107994,6691.634422700214,False,26,,9,5,210
