market,model,metric,best_cv_score,test_score,test_rmse,n_samples_train,n_samples_test,n_features,n_iter,cv_splits,timestamp,param_bootstrap,param_colsample_bytree,param_fit_intercept,param_gamma,param_l2_regularization,param_learning_rate,param_max_depth,param_max_features,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample
day_ahead,hist_gradient_boosting,neg_mean_squared_error,-972.9807447080681,0.6510469558693439,20.101426819492982,10644,2662,18,100,5,2025-11-20T11:36:59.760080,,,,,0.0,0.05,,,500,15,20,,,,,
day_ahead,linear_regression,neg_mean_squared_error,-1894.666764231271,0.5559823326778471,22.674802603330242,10644,2662,18,100,5,2025-11-20T11:27:05.547567,,,True,,,,,,,,,,,,,
day_ahead,random_forest,neg_mean_squared_error,-1231.3155562516083,0.6463940689328991,20.234997727759083,10644,2662,18,100,5,2025-11-20T11:34:51.044837,False,,,,,,21,sqrt,,,4,17,266,,,
imbalance_shortage,hist_gradient_boosting,neg_mean_squared_error,-34072.92663557459,0.05345110277019571,178.87369237365513,30297,7575,18,100,5,2025-11-20T12:02:12.191019,,,,,1.0,0.03,3,,300,31,100,,,,,
imbalance_shortage,linear_regression,neg_mean_squared_error,-34580.731254938735,0.04369414796424487,179.79323707999202,30297,7575,18,100,5,2025-11-20T11:37:00.192096,,,True,,,,,,,,,,,,,
imbalance_shortage,random_forest,neg_mean_squared_error,-43641.99693353842,0.016492402324648214,182.3323815702043,30297,7575,18,100,5,2025-11-20T12:00:22.743427,True,,,,,,5,sqrt,,,9,14,282,,,
imbalance_surplus,hist_gradient_boosting,neg_mean_squared_error,-29658.72501241498,0.0804430092797157,168.17248798591586,30303,7576,18,100,5,2025-11-20T12:26:13.245905,,,,,1.0,0.03,5,,300,15,100,,,,,
imbalance_surplus,linear_regression,neg_mean_squared_error,-31019.93382708384,0.06151962795831911,169.8940702381566,30303,7576,18,100,5,2025-11-20T12:02:12.648619,,,True,,,,,,,,,,,,,
imbalance_surplus,random_forest,neg_mean_squared_error,-31735.906852364657,0.057649490130188275,170.24401735079354,30303,7576,18,100,5,2025-11-20T12:24:36.385588,True,,,,,,5,log2,,,2,19,84,,,
regulation_state,xgboost_classifier,accuracy,0.5010993176648977,0.46228679722046745,,31657,7915,18,100,5,2025-11-20T12:30:10.104134,,0.7704365900187764,,0.11128820878551526,,0.12899548058627555,4,,,,,,54,0.5133261686923929,0.9664561448490556,0.8325221668907129
