Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2025-11-01T00:00;2025-11-01T00:15;1;EUR;MWh;NO;NO;;-48,6;-48,6;-48,6;-1;DOWN
2025-11-01T00:15;2025-11-01T00:30;2;EUR;MWh;NO;NO;40;-11,42;50,56;-11,42;2;UP_AND_DOWN
2025-11-01T00:30;2025-11-01T00:45;3;EUR;MWh;NO;NO;77,95;-4;77,95;-4;2;UP_AND_DOWN
2025-11-01T00:45;2025-11-01T01:00;4;EUR;MWh;NO;NO;;-31,91;-31,91;-31,91;-1;DOWN
2025-11-01T01:00;2025-11-01T01:15;5;EUR;MWh;NO;NO;;-35;-35;-35;-1;DOWN
2025-11-01T01:15;2025-11-01T01:30;6;EUR;MWh;NO;NO;77,95;-2,53;77,95;-2,53;2;UP_AND_DOWN
2025-11-01T01:30;2025-11-01T01:45;7;EUR;MWh;NO;NO;69;8;69;8;2;UP_AND_DOWN
2025-11-01T01:45;2025-11-01T02:00;8;EUR;MWh;NO;NO;58;-30;58;-30;2;UP_AND_DOWN
2025-11-01T02:00;2025-11-01T02:15;9;EUR;MWh;NO;NO;;-26,71;-26,71;-26,71;-1;DOWN
2025-11-01T02:15;2025-11-01T02:30;10;EUR;MWh;NO;NO;;-11,42;-11,42;-11,42;-1;DOWN
2025-11-01T02:30;2025-11-01T02:45;11;EUR;MWh;NO;NO;;-11,42;-11,42;-11,42;-1;DOWN
2025-11-01T02:45;2025-11-01T03:00;12;EUR;MWh;NO;NO;;-13,35;-13,35;-13,35;-1;DOWN
2025-11-01T03:00;2025-11-01T03:15;13;EUR;MWh;NO;NO;;-4;-4;-4;-1;DOWN
2025-11-01T03:15;2025-11-01T03:30;14;EUR;MWh;NO;NO;57;-10,63;57;-10,63;2;UP_AND_DOWN
2025-11-01T03:30;2025-11-01T03:45;15;EUR;MWh;NO;NO;;-10,63;-10,63;-10,63;-1;DOWN
2025-11-01T03:45;2025-11-01T04:00;16;EUR;MWh;NO;NO;41;-4;-4;-4;-1;DOWN
2025-11-01T04:00;2025-11-01T04:15;17;EUR;MWh;NO;NO;;-10,27;-10,27;-10,27;-1;DOWN
2025-11-01T04:15;2025-11-01T04:30;18;EUR;MWh;NO;NO;57;-11,42;57;-11,42;2;UP_AND_DOWN
2025-11-01T04:30;2025-11-01T04:45;19;EUR;MWh;NO;NO;57;-11,42;57;-11,42;2;UP_AND_DOWN
2025-11-01T04:45;2025-11-01T05:00;20;EUR;MWh;NO;NO;;-16,42;-16,42;-16,42;-1;DOWN
2025-11-01T05:00;2025-11-01T05:15;21;EUR;MWh;NO;NO;77,95;-11,42;77,95;-11,42;2;UP_AND_DOWN
2025-11-01T05:15;2025-11-01T05:30;22;EUR;MWh;NO;NO;96;-4;96;-4;2;UP_AND_DOWN
2025-11-01T05:30;2025-11-01T05:45;23;EUR;MWh;NO;NO;105;;105;0;2;UP_AND_DOWN
2025-11-01T05:45;2025-11-01T06:00;24;EUR;MWh;NO;NO;114,98;;114,98;114,98;1;UP
2025-11-01T06:00;2025-11-01T06:15;25;EUR;MWh;NO;NO;105;;105;105;1;UP
2025-11-01T06:15;2025-11-01T06:30;26;EUR;MWh;NO;NO;132,8;;132,8;132,8;1;UP
2025-11-01T06:30;2025-11-01T06:45;27;EUR;MWh;NO;NO;92,06;;92,06;92,06;1;UP
2025-11-01T06:45;2025-11-01T07:00;28;EUR;MWh;NO;NO;77,95;60;77,95;77,95;1;UP
2025-11-01T07:00;2025-11-01T07:15;29;EUR;MWh;NO;NO;77,95;-45;-45;-45;-1;DOWN
2025-11-01T07:15;2025-11-01T07:30;30;EUR;MWh;NO;NO;41;-10,63;-10,63;-10,63;-1;DOWN
2025-11-01T07:30;2025-11-01T07:45;31;EUR;MWh;NO;NO;;-30;-30;-30;-1;DOWN
2025-11-01T07:45;2025-11-01T08:00;32;EUR;MWh;NO;NO;67,95;-15,55;67,95;-15,55;2;UP_AND_DOWN
2025-11-01T08:00;2025-11-01T08:15;33;EUR;MWh;NO;NO;78;-35,39;78;-35,39;2;UP_AND_DOWN
2025-11-01T08:15;2025-11-01T08:30;34;EUR;MWh;NO;NO;67,95;-11,42;67,95;-11,42;2;UP_AND_DOWN
2025-11-01T08:30;2025-11-01T08:45;35;EUR;MWh;NO;NO;46,77;-4;60,5;-4;2;UP_AND_DOWN
2025-11-01T08:45;2025-11-01T09:00;36;EUR;MWh;NO;NO;41;;0;0;-1;DOWN
2025-11-01T09:00;2025-11-01T09:15;37;EUR;MWh;NO;NO;150;;150;0;2;UP_AND_DOWN
2025-11-01T09:15;2025-11-01T09:30;38;EUR;MWh;NO;NO;132,8;13;132,8;13;2;UP_AND_DOWN
2025-11-01T09:30;2025-11-01T09:45;39;EUR;MWh;NO;NO;77,95;-4;77,95;-4;2;UP_AND_DOWN
2025-11-01T09:45;2025-11-01T10:00;40;EUR;MWh;NO;NO;77,95;-24,72;-24,72;-24,72;-1;DOWN
2025-11-01T10:00;2025-11-01T10:15;41;EUR;MWh;NO;NO;45;-4;60,5;-4;2;UP_AND_DOWN
2025-11-01T10:15;2025-11-01T10:30;42;EUR;MWh;NO;NO;150;7,95;150;7,95;2;UP_AND_DOWN
2025-11-01T10:30;2025-11-01T10:45;43;EUR;MWh;NO;NO;161,3;;161,3;161,3;1;UP
2025-11-01T10:45;2025-11-01T11:00;44;EUR;MWh;NO;NO;87,95;25;87,95;25;2;UP_AND_DOWN
2025-11-01T11:00;2025-11-01T11:15;45;EUR;MWh;NO;NO;63;-9,25;63;-9,25;2;UP_AND_DOWN
2025-11-01T11:15;2025-11-01T11:30;46;EUR;MWh;NO;NO;92,56;;92,56;92,56;1;UP
2025-11-01T11:30;2025-11-01T11:45;47;EUR;MWh;NO;NO;100;47;100;100;1;UP
2025-11-01T11:45;2025-11-01T12:00;48;EUR;MWh;NO;NO;40;50;60,5;60,5;0;STABLE
2025-11-01T12:00;2025-11-01T12:15;49;EUR;MWh;NO;NO;;-9,24;-9,24;-9,24;-1;DOWN
2025-11-01T12:15;2025-11-01T12:30;50;EUR;MWh;NO;NO;;69;69;69;-1;DOWN
2025-11-01T12:30;2025-11-01T12:45;51;EUR;MWh;NO;NO;100;69;100;60,5;2;UP_AND_DOWN
2025-11-01T12:45;2025-11-01T13:00;52;EUR;MWh;NO;NO;105;;105;105;1;UP
2025-11-01T13:00;2025-11-01T13:15;53;EUR;MWh;NO;NO;132,8;-30;132,8;-30;2;UP_AND_DOWN
2025-11-01T13:15;2025-11-01T13:30;54;EUR;MWh;NO;NO;100;1;100;1;2;UP_AND_DOWN
2025-11-01T13:30;2025-11-01T13:45;55;EUR;MWh;NO;NO;132,8;;132,8;132,8;1;UP
2025-11-01T13:45;2025-11-01T14:00;56;EUR;MWh;NO;NO;140;;140;140;1;UP
2025-11-01T14:00;2025-11-01T14:15;57;EUR;MWh;NO;NO;94;;94;94;1;UP
2025-11-01T14:15;2025-11-01T14:30;58;EUR;MWh;NO;NO;77,95;;77,95;77,95;1;UP
2025-11-01T14:30;2025-11-01T14:45;59;EUR;MWh;NO;NO;77,95;-12,34;-12,34;-12,34;-1;DOWN
2025-11-01T14:45;2025-11-01T15:00;60;EUR;MWh;NO;NO;;-11,42;-11,42;-11,42;-1;DOWN
2025-11-01T15:00;2025-11-01T15:15;61;EUR;MWh;NO;NO;77,95;-30;77,95;-30;2;UP_AND_DOWN
2025-11-01T15:15;2025-11-01T15:30;62;EUR;MWh;NO;NO;;-18,77;-18,77;-18,77;-1;DOWN
2025-11-01T15:30;2025-11-01T15:45;63;EUR;MWh;NO;NO;;-43,8;-43,8;-43,8;-1;DOWN
2025-11-01T15:45;2025-11-01T16:00;64;EUR;MWh;NO;NO;;-28,62;-28,62;-28,62;-1;DOWN
2025-11-01T16:00;2025-11-01T16:15;65;EUR;MWh;NO;NO;132,8;-28,62;132,8;132,8;1;UP
2025-11-01T16:15;2025-11-01T16:30;66;EUR;MWh;NO;NO;100;;100;100;1;UP
2025-11-01T16:30;2025-11-01T16:45;67;EUR;MWh;NO;NO;100;81;100;100;1;UP
2025-11-01T16:45;2025-11-01T17:00;68;EUR;MWh;NO;NO;62;81;62;62;1;UP
2025-11-01T17:00;2025-11-01T17:15;69;EUR;MWh;NO;NO;161,3;-19,67;161,3;-19,67;2;UP_AND_DOWN
