Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2025-02-01T00:00;2025-02-01T00:15;1;EUR;MWh;NO;NO;165.57;92;165.57;63.79;2;UP_AND_DOWN
2025-02-01T00:15;2025-02-01T00:30;2;EUR;MWh;NO;NO;144.47;;144.47;144.47;1;UP
2025-02-01T00:30;2025-02-01T00:45;3;EUR;MWh;NO;NO;191;;191;191;1;UP
2025-02-01T00:45;2025-02-01T01:00;4;EUR;MWh;NO;NO;148.95;;148.95;148.95;1;UP
2025-02-01T01:00;2025-02-01T01:15;5;EUR;MWh;NO;NO;166.02;;166.02;166.02;1;UP
2025-02-01T01:15;2025-02-01T01:30;6;EUR;MWh;NO;NO;140;108.31;108.31;108.31;-1;DOWN
2025-02-01T01:30;2025-02-01T01:45;7;EUR;MWh;NO;NO;;114.57;114.57;114.57;-1;DOWN
2025-02-01T01:45;2025-02-01T02:00;8;EUR;MWh;NO;NO;134.63;;134.63;134.63;1;UP
2025-02-01T02:00;2025-02-01T02:15;9;EUR;MWh;NO;NO;167.28;;167.28;167.28;1;UP
2025-02-01T02:15;2025-02-01T02:30;10;EUR;MWh;NO;NO;167.28;;167.28;167.28;1;UP
2025-02-01T02:30;2025-02-01T02:45;11;EUR;MWh;NO;NO;169.04;;169.04;169.04;1;UP
2025-02-01T02:45;2025-02-01T03:00;12;EUR;MWh;NO;NO;173.93;;173.93;173.93;1;UP
2025-02-01T03:00;2025-02-01T03:15;13;EUR;MWh;NO;NO;175.5;;175.5;175.5;1;UP
2025-02-01T03:15;2025-02-01T03:30;14;EUR;MWh;NO;NO;171.72;;171.72;171.72;1;UP
2025-02-01T03:30;2025-02-01T03:45;15;EUR;MWh;NO;NO;130.26;;130.26;130.26;1;UP
2025-02-01T03:45;2025-02-01T04:00;16;EUR;MWh;NO;NO;157.28;;157.28;157.28;1;UP
2025-02-01T04:00;2025-02-01T04:15;17;EUR;MWh;NO;NO;140;110.34;140;107.74;2;UP_AND_DOWN
2025-02-01T04:15;2025-02-01T04:30;18;EUR;MWh;NO;NO;132.57;;132.57;132.57;1;UP
2025-02-01T04:30;2025-02-01T04:45;19;EUR;MWh;NO;NO;126.14;;126.14;126.14;1;UP
2025-02-01T04:45;2025-02-01T05:00;20;EUR;MWh;NO;NO;149.06;;149.06;149.06;1;UP
2025-02-01T05:00;2025-02-01T05:15;21;EUR;MWh;NO;NO;140;;140;140;1;UP
2025-02-01T05:15;2025-02-01T05:30;22;EUR;MWh;NO;NO;133.6;;133.6;133.6;1;UP
2025-02-01T05:30;2025-02-01T05:45;23;EUR;MWh;NO;NO;153.78;;153.78;153.78;1;UP
2025-02-01T05:45;2025-02-01T06:00;24;EUR;MWh;NO;NO;160;;160;160;1;UP
