Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2025-10-01T00:00;2025-10-01T00:15;1;EUR;MWh;NO;NO;85.35;74.52;85.35;62.66;2;UP_AND_DOWN
2025-10-01T00:15;2025-10-01T00:30;2;EUR;MWh;NO;NO;124.24;;124.24;124.24;1;UP
2025-10-01T00:30;2025-10-01T00:45;3;EUR;MWh;NO;NO;135.6;;135.6;135.6;1;UP
2025-10-01T00:45;2025-10-01T01:00;4;EUR;MWh;NO;NO;135.6;;135.6;135.6;1;UP
2025-10-01T01:00;2025-10-01T01:15;5;EUR;MWh;NO;NO;110.22;;110.22;110.22;1;UP
2025-10-01T01:15;2025-10-01T01:30;6;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T01:30;2025-10-01T01:45;7;EUR;MWh;NO;NO;119.14;;119.14;119.14;1;UP
2025-10-01T01:45;2025-10-01T02:00;8;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T02:00;2025-10-01T02:15;9;EUR;MWh;NO;NO;43;;43;43;1;UP
2025-10-01T02:15;2025-10-01T02:30;10;EUR;MWh;NO;NO;;75.43;75.43;75.43;-1;DOWN
2025-10-01T02:30;2025-10-01T02:45;11;EUR;MWh;NO;NO;94.24;78.21;94.24;62.32;2;UP_AND_DOWN
2025-10-01T02:45;2025-10-01T03:00;12;EUR;MWh;NO;NO;90.12;76.33;90.12;62.32;2;UP_AND_DOWN
2025-10-01T03:00;2025-10-01T03:15;13;EUR;MWh;NO;NO;100;77.23;100;62.32;2;UP_AND_DOWN
2025-10-01T03:15;2025-10-01T03:30;14;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T03:30;2025-10-01T03:45;15;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T03:45;2025-10-01T04:00;16;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T04:00;2025-10-01T04:15;17;EUR;MWh;NO;NO;149.8;79.57;149.8;62.32;2;UP_AND_DOWN
2025-10-01T04:15;2025-10-01T04:30;18;EUR;MWh;NO;NO;119.24;;119.24;119.24;1;UP
2025-10-01T04:30;2025-10-01T04:45;19;EUR;MWh;NO;NO;110;;110;110;1;UP
2025-10-01T04:45;2025-10-01T05:00;20;EUR;MWh;NO;NO;110;79.57;110;110;1;UP
2025-10-01T05:00;2025-10-01T05:15;21;EUR;MWh;NO;NO;135.6;;135.6;135.6;1;UP
2025-10-01T05:15;2025-10-01T05:30;22;EUR;MWh;NO;NO;110.32;79.93;110.32;110.32;1;UP
2025-10-01T05:30;2025-10-01T05:45;23;EUR;MWh;NO;NO;164;;164;164;1;UP
2025-10-01T05:45;2025-10-01T06:00;24;EUR;MWh;NO;NO;164;79.57;164;63;2;UP_AND_DOWN
2025-10-01T06:00;2025-10-01T06:15;25;EUR;MWh;NO;NO;164;79.93;164;63;2;UP_AND_DOWN
2025-10-01T06:15;2025-10-01T06:30;26;EUR;MWh;NO;NO;164;83;164;63;2;UP_AND_DOWN
2025-10-01T06:30;2025-10-01T06:45;27;EUR;MWh;NO;NO;164;83;164;164;1;UP
2025-10-01T06:45;2025-10-01T07:00;28;EUR;MWh;NO;NO;158.6;;158.6;158.6;1;UP
2025-10-01T07:00;2025-10-01T07:15;29;EUR;MWh;NO;NO;164.2;;164.2;164.2;1;UP
2025-10-01T07:15;2025-10-01T07:30;30;EUR;MWh;NO;NO;200;;200;200;1;UP
2025-10-01T07:30;2025-10-01T07:45;31;EUR;MWh;NO;NO;214;;214;214;1;UP
2025-10-01T07:45;2025-10-01T08:00;32;EUR;MWh;NO;NO;149.08;;149.08;149.08;1;UP
